PARCEL_APN,TAXAPN,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,LATITUDE,LONGITUDE,ASSESSEE_OWNER_NAME_1,ASSESSEE_OWNER_NAME_2,ASSESSEE_MAIL_CITY,ASSESSEE_MAIL_STATE,ASSESSEE_MAIL_ZIP,VAL_ASSD_LAND,VAL_ASSD_IMPRV,VAL_ASSD,ASMT_YEAR,ASMT_RCDRS_DATE_TRANSFER,ASMT_VAL_TRANSFER,USE_CODE_MUNI_DESC,USE_CODE_MUNI,USE_CODE_STD_LPS,USE_CODE_STD_DESC_LPS,ZONING,LOT_SIZE_AREA,LOT_SIZE_AREA_UNIT,LIVING_SQFT,YR_BLT,BUILDING_SQFT,STORIES_NUMBER,UNITS_NUMBER,BEDROOMS,TOTAL_BATHS_CALCULATED,VAL_MRKT_LAND,VAL_MRKT_IMPRV,VAL_MARKET,LAST_SALE_DATE_TRANSFER,VAL_TRANSFER,JURISDICTION,H3_INT_9,vacancy_tier,exclusion_reason
25004700040000,250-0470-004-0000,608 FORD RD,SACRAMENTO,CA,95838.0,38.62856,-121.45207,HOUSING AUTHORITY OF CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,,0.0,RES/SINGLE FAMILY/SUBDIVISION,A1A00E,1001.0,SINGLE FAMILY RESIDENTIAL,R-1A-SPD,5639.0,SF,1407.0,2017.0,1407.0,2.0,,3.0,,,,,20090128.0,,CITY OF SACRAMENTO,617700322455584767,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
26301410250000,263-0141-025-0000,651 ELEANOR AVE,SACRAMENTO,CA,95815.0,38.616878,-121.451084,UNITED STATES SECRETARY VETERANS AFFAIRS,,CARROLLTON,TX,75007.0,,,,2024.0,,0.0,RES/SINGLE FAMILY/SUBDIVISION,A1A00A,1001.0,SINGLE FAMILY RESIDENTIAL,R-1,5663.0,SF,1206.0,1998.0,1206.0,1,,4.0,,,,,20230927.0,243500.0,CITY OF SACRAMENTO,617700322512994303,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25101750100000,251-0175-010-0000,1332 NOGALES ST,SACRAMENTO,CA,95838.0,38.63129,-121.436035,DEL PASO UNION BAPTIST CHURCH,,SACRAMENTO,CA,95838.0,15640.0,,15640.0,2024.0,19971022.0,0.0,RES/SINGLE FAMILY/SUBDIVISION,A1A00A,1001.0,SINGLE FAMILY RESIDENTIAL,R-1,6970.0,SF,887.0,1945.0,887.0,1,,3.0,,,,,19971022.0,,CITY OF SACRAMENTO,617700322432253951,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25103250090000,251-0325-009-0000,3217 MARYSVILLE BLVD,SACRAMENTO,CA,95815.0,38.626117,-121.433223,HERITAGE VILA LLC,,SAN JOSE,CA,95151.0,133692.0,,133692.0,2024.0,,0.0,SMALL RETAIL-MULTI TENANT,BAB00A,2001.0,"RETAIL STORES ( PERSONAL SERVICES, PHOTOGRAPHY, TRAVEL)",C-2,12684.0,SF,11600.0,1939.0,11600.0,1,,,0.0,,,,20170201.0,350000.0,CITY OF SACRAMENTO,617700322440904703,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25103250060000,251-0325-006-0000,3201 MARYSVILLE BLVD,SACRAMENTO,CA,95815.0,38.62559,-121.433391,HERITAGE VILA LLC,,SAN JOSE,CA,95151.0,83628.0,3410.0,87038.0,2024.0,,0.0,ABANDONED SERVICE STN,BFK00B,2000.0,COMMERCIAL (GENERAL),C-2,7000.0,SF,720.0,1961.0,720.0,1,,,0.0,,,,20170201.0,350000.0,CITY OF SACRAMENTO,617700322440904703,Tier 3: Parking/Abandoned,occupied_structure_missing_improvement_data
25101820280000,251-0182-028-0000,3550 MARYSVILLE BLVD,SACRAMENTO,CA,95838.0,38.632425,-121.429782,CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,19920131.0,0.0,OFFICE - SINGLE TENANT,CBA00A,3003.0,OFFICE BLDG (GENERAL),R-1,6098.0,SF,792.0,1982.0,792.0,1,,2.0,,,,,,,CITY OF SACRAMENTO,617700322432516095,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25101820020000,251-0182-002-0000,3550 MARYSVILLE BLVD,SACRAMENTO,CA,95838.0,38.632596,-121.430183,CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,19911223.0,0.0,OFFICE - SINGLE TENANT,CBA00A,3003.0,OFFICE BLDG (GENERAL),C-2,12500.0,SF,1040.0,1930.0,1040.0,1,,2.0,,,,,,,CITY OF SACRAMENTO,617700322432516095,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25101820310000,251-0182-031-0000,3550 MARYSVILLE BLVD,SACRAMENTO,CA,95838.0,38.632383,-121.430136,CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,19921209.0,0.0,OFFICE - SINGLE TENANT,CBA00A,3003.0,OFFICE BLDG (GENERAL),C-2,3920.0,SF,1132.0,1940.0,1132.0,1,,,,,,,,,CITY OF SACRAMENTO,617700322432516095,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25101820230000,251-0182-023-0000,3550 MARYSVILLE BLVD,SACRAMENTO,CA,95838.0,38.631942,-121.429842,CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,19920228.0,0.0,OFFICE - SINGLE TENANT,CBA00A,3003.0,OFFICE BLDG (GENERAL),R-1,10890.0,SF,927.0,1920.0,927.0,1,,,,,,,,,CITY OF SACRAMENTO,617700322432516095,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25101820250000,251-0182-025-0000,3550 MARYSVILLE BLVD,SACRAMENTO,CA,95838.0,38.632212,-121.429804,CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,19920110.0,0.0,OFFICE - SINGLE TENANT,CBA00A,3003.0,OFFICE BLDG (GENERAL),R-1,13939.0,SF,1080.0,1985.0,1080.0,1,,,,,,,,,CITY OF SACRAMENTO,617700322432516095,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25101820100000,251-0182-010-0000,3550 MARYSVILLE BLVD,SACRAMENTO,CA,95838.0,38.631681,-121.42966,CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,19920720.0,0.0,OFFICE - SINGLE TENANT,CBA0CA,3003.0,OFFICE BLDG (GENERAL),R-1,23958.0,SF,810.0,1930.0,810.0,1,,,,,,,,,CITY OF SACRAMENTO,617700322432516095,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
21503400620000,215-0340-062-0000,4519 FORCUM AVE,MCCLELLAN,CA,95652.0,38.649704,-121.406686,COUNTY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,,0.0,DISTRIBUTUION & WAREHOUSES,GCKA0A,6002.0,DISTRIBUTION WAREHOUSE (REGIONAL),SPA,9.6400003,AC,4400.0,1965.0,4400.0,1,,,,,,,,,UNINCORPORATED COUNTY,617700322465021951,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
21503300500000,215-0330-050-0000,4234 54TH ST,MCCLELLAN,CA,95652.0,38.644481,-121.407669,UNITED STATES OF AMERICA (SACCOUNTY) (MBP) (DMEA),,MCCLELLAN,CA,95652.0,,,,2024.0,19650301.0,0.0,DISTRIBUTUION & WAREHOUSES,GCKA0A,6002.0,DISTRIBUTION WAREHOUSE (REGIONAL),SPA,3.52,AC,75000.0,1987.0,75000.0,,,,,,,,,,UNINCORPORATED COUNTY,617700322465546239,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25200420060000,252-0042-006-0000,2416 NORTH AVE,SACRAMENTO,CA,95838.0,38.63928,-121.410504,PROPS RICK W,,ROCKLIN,CA,95765.0,26885.0,,26885.0,2024.0,19980724.0,0.0,RES/SINGLE FAMILY/SUBDIVISION,A1A00A,1001.0,SINGLE FAMILY RESIDENTIAL,C-2-SPD,9583.0,SF,957.0,1946.0,957.0,1,,3.0,,,,,,,CITY OF SACRAMENTO,617700322472886271,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25200420150000,252-0042-015-0000,2441 HARRIS AVE,SACRAMENTO,CA,95838.0,38.638603,-121.409767,YAROSHCHUK TIMOFEY,,ANTELOPE,CA,95843.0,50236.0,,50236.0,2024.0,20100701.0,0.0,PARKING LOT,BFH0MA,2036.0,PARKING LOT,C-2-SPD,20473.0,SF,600.0,1944.0,600.0,,,,0.0,,,,20241105.0,40000.0,CITY OF SACRAMENTO,617700322472886271,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
24005400470000,240-0540-047-0000,4190 ROSEVILLE RD,NORTH HIGHLANDS,CA,95660.0,38.64116,-121.401427,LEW J & CATHY L DEPRIEST TRUST,,SACRAMENTO,CA,95821.0,84618.0,,84618.0,2024.0,,0.0,AUTO REPAIR GARAGE,BFC00B,2024.0,"AUTO REPAIR (& RELATED), GARAGE",SPA,24810.0,SF,2430.0,1974.0,2430.0,1,,,,,,,,,UNINCORPORATED COUNTY,617700322462400511,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
21503300020000,215-0330-002-0000,4144 DUDLEY BLVD,MCCLELLAN,CA,95652.0,38.646665,-121.397261,MP HOLDINGS LLC,,MCCLELLAN,CA,95652.0,9.0,,9.0,2024.0,,0.0,DISTRIBUTUION & WAREHOUSES,GCKA0A,6002.0,DISTRIBUTION WAREHOUSE (REGIONAL),SPA,3.6099999,AC,5333.0,1954.0,5333.0,,,,,,,,20201116.0,,UNINCORPORATED COUNTY,617700322469740543,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
24005401000000,240-0540-100-0000,3050 ORANGE GROVE AVE,NORTH HIGHLANDS,CA,95660.0,38.645075,-121.39269,SAN JUAN UNIFIED SCHOOL DISTRICT,,CARMICHAEL,CA,95609.0,,,,2024.0,20010830.0,0.0,WAREHOUSE,GCKCCA,5003.0,WAREHOUSE (INDUSTRIAL),SPA,3.5999999,AC,24600.0,1971.0,24600.0,,,,,,,,20010830.0,,UNINCORPORATED COUNTY,617700322466856959,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25402800150000,254-0280-015-0000,3322 AUBURN BLVD,SACRAMENTO,CA,95821.0,38.634957,-121.386456,MAITA STEVE,,SACRAMENTO,CA,95821.0,830000.0,120000.0,950000.0,2024.0,20031210.0,0.0,PARKING LOT,BFH00A,2036.0,PARKING LOT,SPA,1.0599999,AC,3292.0,1960.0,3292.0,,,,,,,,20031210.0,850000.0,UNINCORPORATED COUNTY,617700321845051391,Tier 3: Parking/Abandoned,occupied_structure_missing_improvement_data
25402800160000,801-0010-023-0000,3330 AUBURN BLVD SPC 23,SACRAMENTO,CA,95821.0,38.635046,-121.385954,MACLAURIN KAREN ALINE & WEBB HENRIETTA,,SACRAMENTO,CA,95821.0,,,,2024.0,,0.0,MOBILE HOME/ON LEASED LAND/MH PARK,ATA00A,1006.0,MOBILE/MANUFACTURED HOME (REGARDLESS OF LAND OWNERSHIP),SPA,0.0,,380.0,1970.0,380.0,1.0,,1.0,,,,,,,UNINCORPORATED COUNTY,617700321845051391,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25402800180000,801-0003-027-0000,3350 AUBURN BLVD SPC 25,SACRAMENTO,CA,95821.0,38.635419,-121.385,PATRICIA MAE DOCKINS GARY LEE DOCKINS,,SACRAMENTO,CA,95821.0,,,,2024.0,,0.0,MOBILE HOME/ON LEASED LAND/MH PARK,ATA00A,1006.0,MOBILE/MANUFACTURED HOME (REGARDLESS OF LAND OWNERSHIP),SPA,0.0,,480.0,1965.0,480.0,1.0,,2.0,,,,,,,UNINCORPORATED COUNTY,617700321845051391,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25402800180000,801-0003-045-0000,3350 AUBURN BLVD SPC 43,SACRAMENTO,CA,95821.0,38.635419,-121.385,GREENWOOD BLAKE L & FERN S & KUNZ EMIL VICTOR,,SACRAMENTO,CA,95821.0,,,,2024.0,,0.0,MOBILE HOME/ON LEASED LAND/MH PARK,ATA00A,1006.0,MOBILE/MANUFACTURED HOME (REGARDLESS OF LAND OWNERSHIP),SPA,0.0,,380.0,1958.0,380.0,1.0,,1.0,,,,,,,UNINCORPORATED COUNTY,617700321845051391,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
